PERIOD,TYPE,MAIN_STAFF_GROUP,STAFF_GROUP,GRADE,AGE_BAND,HC,FTE
201409 to 201509,Leavers,Professionally qualified clinical staff,All staff groups,All grades,65 and over,1440,884.94945
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,All age bands,17782,16539.66797
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,Under 25,791,791.1
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,25 to 34,10089,9820.66779
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,35 to 44,4177,3809.76644
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,45 to 54,1160,955.72033
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,55 to 64,1211,934.12846
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,65 and over,354,228.28495
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,All age bands,2569,2225.64038
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,25 to 34,104,89.82513
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,35 to 44,906,833.7385
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,45 to 54,512,468.59501
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,55 to 64,817,681.94087
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,65 and over,230,151.54087
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,All age bands,212,169.23701
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,35 to 44,13,9.32273
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,45 to 54,46,36.08473
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,55 to 64,110,89.21364
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,65 and over,43,34.61591
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,All age bands,774,601.89465
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,25 to 34,132,101.858
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,35 to 44,350,288.7185
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,45 to 54,169,129.94545
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,55 to 64,84,57.8497
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,65 and over,39,23.523
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,All age bands,55,41.93409
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,25 to 34,8,7.90909
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,35 to 44,14,11.9
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,45 to 54,15,9.35
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,55 to 64,12,9.375
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,65 and over,6,3.4
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,All age bands,8180,7844.38347
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,Under 25,10,9.5
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,25 to 34,5510,5341.8419
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,35 to 44,2408,2253.82657
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,45 to 54,227,215.375
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,55 to 64,21,20.44
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,65 and over,4,3.4
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,All age bands,2020,1993.07625
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,Under 25,75,75.0
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,25 to 34,1645,1625.77625
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,35 to 44,252,245.425
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,45 to 54,37,36.375
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,55 to 64,8,8.0
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,65 and over,3,2.5
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,All age bands,3090,3068.95567
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,Under 25,538,538.6
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,25 to 34,2431,2415.2365
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,35 to 44,98,93.3225
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,45 to 54,20,19.05
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,55 to 64,2,2.0
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,65 and over,1,0.74667
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,All age bands,394,388.7
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,Under 25,163,163.0
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,25 to 34,203,198.7
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,35 to 44,25,24.0
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,45 to 54,2,2.0
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,55 to 64,1,1.0
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,All age bands,343,99.1598
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,25 to 34,20,7.89842
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,35 to 44,84,25.62951
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,45 to 54,102,26.27204
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,55 to 64,113,33.89682
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,65 and over,24,5.46301
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,All age bands,189,106.68665
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,Under 25,5,5.0
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,25 to 34,49,31.6225
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,35 to 44,43,23.88313
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,45 to 54,37,12.6731
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,55 to 64,48,30.41243
201409 to 201509,Leavers,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,65 and over,7,3.09549
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,All grades,All age bands,32138,27571.78334
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,All grades,Under 25,1771,1743.02356
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,All grades,25 to 34,9286,8403.28072
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,All grades,35 to 44,7536,6390.65712
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,All grades,45 to 54,6851,5922.43669
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,All grades,55 to 64,6027,4694.79605
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,All grades,65 and over,667,417.5892
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 2,All age bands,2,2.0
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 2,Under 25,1,1.0
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 2,25 to 34,1,1.0
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 4,All age bands,39,38.46667
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 4,Under 25,14,14.0
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 4,25 to 34,15,14.72
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 4,35 to 44,8,8.0
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 4,45 to 54,1,1.0
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 4,55 to 64,1,0.74667
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 5,All age bands,18857,16126.86652
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 5,Under 25,1704,1676.73023
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 5,25 to 34,6771,6112.03892
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 5,35 to 44,4344,3628.31176
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 5,45 to 54,3127,2601.032
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 5,55 to 64,2571,1904.73791
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 5,65 and over,340,204.0157
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 6,All age bands,8255,6901.03965
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 6,Under 25,44,42.33333
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 6,25 to 34,1998,1790.14729
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 6,35 to 44,2043,1720.43377
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 6,45 to 54,2059,1772.82386
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 6,55 to 64,1897,1444.95593
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 6,65 and over,214,130.34547
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 7,All age bands,3773,3315.16807
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 7,Under 25,2,2.0
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 7,25 to 34,457,417.31025
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 7,35 to 44,907,799.3929
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 7,45 to 54,1184,1075.46796
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 7,55 to 64,1131,954.15432
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 7,65 and over,92,66.84264
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,All age bands,739,675.49042
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,Under 25,1,1.0
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,25 to 34,32,29.03093
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,35 to 44,163,149.09869
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,45 to 54,293,273.9912
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,55 to 64,244,218.54293
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,65 and over,6,3.82667
201409 to 201509,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8b,All age bands,217,205.10668
